,image_paths,labels
0,dataset/train/0.png,6
1,dataset/train/1.png,9
2,dataset/train/2.png,4
3,dataset/train/3.png,5
4,dataset/train/4.png,8
5,dataset/train/5.png,4
6,dataset/train/6.png,2
7,dataset/train/7.png,7
8,dataset/train/8.png,8
9,dataset/train/9.png,8
10,dataset/train/10.png,8
11,dataset/train/11.png,0
12,dataset/train/12.png,2
13,dataset/train/13.png,7
14,dataset/train/14.png,3
15,dataset/train/15.png,7
16,dataset/train/16.png,9
17,dataset/train/17.png,4
18,dataset/train/18.png,4
19,dataset/train/19.png,9
20,dataset/train/20.png,4
21,dataset/train/21.png,3
22,dataset/train/22.png,9
23,dataset/train/23.png,0
24,dataset/train/24.png,8
25,dataset/train/25.png,9
26,dataset/train/26.png,8
27,dataset/train/27.png,7
28,dataset/train/28.png,0
29,dataset/train/29.png,8
30,dataset/train/30.png,5
31,dataset/train/31.png,8
32,dataset/train/32.png,1
33,dataset/train/33.png,2
34,dataset/train/34.png,7
35,dataset/train/35.png,7
36,dataset/train/36.png,1
37,dataset/train/37.png,6
38,dataset/train/38.png,8
39,dataset/train/39.png,8
40,dataset/train/40.png,2
41,dataset/train/41.png,5
42,dataset/train/42.png,6
43,dataset/train/43.png,2
44,dataset/train/44.png,2
45,dataset/train/45.png,9
46,dataset/train/46.png,1
47,dataset/train/47.png,3
48,dataset/train/48.png,5
49,dataset/train/49.png,4
50,dataset/train/50.png,0
51,dataset/train/51.png,6
52,dataset/train/52.png,1
53,dataset/train/53.png,4
54,dataset/train/54.png,8
55,dataset/train/55.png,8
56,dataset/train/56.png,0
57,dataset/train/57.png,5
58,dataset/train/58.png,7
59,dataset/train/59.png,8
60,dataset/train/60.png,7
61,dataset/train/61.png,6
62,dataset/train/62.png,8
63,dataset/train/63.png,8
64,dataset/train/64.png,4
65,dataset/train/65.png,1
66,dataset/train/66.png,8
67,dataset/train/67.png,0
68,dataset/train/68.png,1
69,dataset/train/69.png,5
70,dataset/train/70.png,9
71,dataset/train/71.png,7
72,dataset/train/72.png,0
73,dataset/train/73.png,4
74,dataset/train/74.png,8
75,dataset/train/75.png,6
76,dataset/train/76.png,5
77,dataset/train/77.png,6
78,dataset/train/78.png,1
79,dataset/train/79.png,0
80,dataset/train/80.png,4
81,dataset/train/81.png,7
82,dataset/train/82.png,7
83,dataset/train/83.png,6
84,dataset/train/84.png,8
85,dataset/train/85.png,2
86,dataset/train/86.png,4
87,dataset/train/87.png,9
88,dataset/train/88.png,8
89,dataset/train/89.png,5
90,dataset/train/90.png,5
91,dataset/train/91.png,7
92,dataset/train/92.png,9
93,dataset/train/93.png,7
94,dataset/train/94.png,5
95,dataset/train/95.png,0
96,dataset/train/96.png,3
97,dataset/train/97.png,4
98,dataset/train/98.png,8
99,dataset/train/99.png,5
100,dataset/train/100.png,2
101,dataset/train/101.png,2
102,dataset/train/102.png,9
103,dataset/train/103.png,4
104,dataset/train/104.png,2
105,dataset/train/105.png,1
106,dataset/train/106.png,1
107,dataset/train/107.png,3
108,dataset/train/108.png,2
109,dataset/train/109.png,8
110,dataset/train/110.png,9
111,dataset/train/111.png,5
112,dataset/train/112.png,6
113,dataset/train/113.png,3
114,dataset/train/114.png,8
115,dataset/train/115.png,1
116,dataset/train/116.png,6
117,dataset/train/117.png,8
118,dataset/train/118.png,7
119,dataset/train/119.png,2
120,dataset/train/120.png,4
121,dataset/train/121.png,4
122,dataset/train/122.png,1
123,dataset/train/123.png,2
124,dataset/train/124.png,6
125,dataset/train/125.png,7
126,dataset/train/126.png,4
127,dataset/train/127.png,3
128,dataset/train/128.png,8
129,dataset/train/129.png,4
130,dataset/train/130.png,1
131,dataset/train/131.png,8
132,dataset/train/132.png,3
133,dataset/train/133.png,9
134,dataset/train/134.png,4
135,dataset/train/135.png,7
136,dataset/train/136.png,9
137,dataset/train/137.png,2
138,dataset/train/138.png,4
139,dataset/train/139.png,1
140,dataset/train/140.png,1
141,dataset/train/141.png,4
142,dataset/train/142.png,3
143,dataset/train/143.png,1
144,dataset/train/144.png,9
145,dataset/train/145.png,4
146,dataset/train/146.png,9
147,dataset/train/147.png,9
148,dataset/train/148.png,1
149,dataset/train/149.png,0
150,dataset/train/150.png,8
151,dataset/train/151.png,3
152,dataset/train/152.png,5
153,dataset/train/153.png,5
154,dataset/train/154.png,2
155,dataset/train/155.png,6
156,dataset/train/156.png,8
157,dataset/train/157.png,4
158,dataset/train/158.png,4
159,dataset/train/159.png,4
160,dataset/train/160.png,3
161,dataset/train/161.png,5
162,dataset/train/162.png,5
163,dataset/train/163.png,3
164,dataset/train/164.png,7
165,dataset/train/165.png,3
166,dataset/train/166.png,0
167,dataset/train/167.png,3
168,dataset/train/168.png,6
169,dataset/train/169.png,7
170,dataset/train/170.png,2
171,dataset/train/171.png,1
172,dataset/train/172.png,0
173,dataset/train/173.png,3
174,dataset/train/174.png,4
175,dataset/train/175.png,8
176,dataset/train/176.png,6
177,dataset/train/177.png,2
178,dataset/train/178.png,7
179,dataset/train/179.png,6
180,dataset/train/180.png,7
181,dataset/train/181.png,5
182,dataset/train/182.png,4
183,dataset/train/183.png,0
184,dataset/train/184.png,5
185,dataset/train/185.png,8
186,dataset/train/186.png,1
187,dataset/train/187.png,1
188,dataset/train/188.png,7
189,dataset/train/189.png,6
190,dataset/train/190.png,1
191,dataset/train/191.png,0
192,dataset/train/192.png,1
193,dataset/train/193.png,4
194,dataset/train/194.png,8
195,dataset/train/195.png,5
196,dataset/train/196.png,1
197,dataset/train/197.png,9
198,dataset/train/198.png,9
199,dataset/train/199.png,0
200,dataset/train/200.png,5
201,dataset/train/201.png,2
202,dataset/train/202.png,7
203,dataset/train/203.png,3
204,dataset/train/204.png,7
205,dataset/train/205.png,4
206,dataset/train/206.png,4
207,dataset/train/207.png,1
208,dataset/train/208.png,2
209,dataset/train/209.png,4
210,dataset/train/210.png,6
